,time,mu_real,mu_imag
809,0.1618,-0.26707792485,-0.00320786409223
810,0.162,-0.267077483816,-0.00318978634253
811,0.1622,-0.26707704743,-0.00317170322594
812,0.1624,-0.26707661583,-0.0031536152505
813,0.1626,-0.267076189352,-0.00313552304137
814,0.1628,-0.267075767574,-0.00311742738048
815,0.163,-0.267075350465,-0.00309932855505
816,0.1632,-0.267074937969,-0.00308122732614
817,0.1634,-0.267074530412,-0.00306312424323
818,0.1636,-0.267074127552,-0.00304501992985
819,0.1638,-0.267073729392,-0.00302691514241
820,0.164,-0.267073335931,-0.0030088104387
821,0.1642,-0.267072947389,-0.00299070626684
822,0.1644,-0.267072563484,-0.00297260322358
823,0.1646,-0.267072184388,-0.00295450191944
824,0.1648,-0.267071810003,-0.00293640293964
825,0.165,-0.267071440284,-0.00291830703303
826,0.1652,-0.267071075314,-0.00290021451247
827,0.1654,-0.267070715045,-0.00288212598101
828,0.1656,-0.26707035946,-0.00286404218202
829,0.1658,-0.26707000865,-0.00284596368736
830,0.166,-0.267069662407,-0.00282789120572
831,0.1662,-0.267069320954,-0.0028098251217
832,0.1664,-0.267068984282,-0.00279176620661
833,0.1666,-0.267068652147,-0.00277371512994
834,0.1668,-0.267068324713,-0.00275567209971
835,0.167,-0.267068001864,-0.00273763788955
836,0.1672,-0.267067683573,-0.00271961315828
837,0.1674,-0.26706737003,-0.00270159846628
838,0.1676,-0.267067061296,-0.00268359436059
839,0.1678,-0.267066757267,-0.00266560131931
840,0.168,-0.267066457788,-0.00264762022209
841,0.1682,-0.267066162937,-0.00262965156232
842,0.1684,-0.267065872748,-0.0026116957671
843,0.1686,-0.267065587102,-0.0025937537557
844,0.1688,-0.267065306141,-0.00257582598342
845,0.169,-0.267065029715,-0.002557912813
846,0.1692,-0.26706475794,-0.00254001477964
847,0.1694,-0.267064490691,-0.00252213281151
848,0.1696,-0.267064227987,-0.00250426724525
849,0.1698,-0.267063969867,-0.00248641875263
850,0.17,-0.267063716105,-0.00246858796781
851,0.1702,-0.26706346701,-0.00245077552545
852,0.1704,-0.267063222685,-0.00243298205163
853,0.1706,-0.26706298272,-0.00241520789082
854,0.1708,-0.267062747377,-0.00239745373508
855,0.171,-0.267062516424,-0.00237972023604
856,0.1712,-0.267062289965,-0.00236200778951
857,0.1714,-0.267062068096,-0.00234431708946
858,0.1716,-0.267061850653,-0.00232664873109
859,0.1718,-0.267061637606,-0.00230900326888
860,0.172,-0.267061429252,-0.00229138123675
861,0.1722,-0.26706122524,-0.0022737832672
862,0.1724,-0.267061025713,-0.00225620993315
863,0.1726,-0.26706083065,-0.0022386619167
864,0.1728,-0.26706063993,-0.00222113944546
865,0.173,-0.267060453654,-0.00220364361144
866,0.1732,-0.267060271847,-0.00218617471456
867,0.1734,-0.267060094384,-0.00216873339398
868,0.1736,-0.267059921258,-0.00215132008511
869,0.1738,-0.267059752521,-0.00213393549866
870,0.174,-0.267059588023,-0.00211658001108
871,0.1742,-0.267059427946,-0.00209925434853
872,0.1744,-0.267059272275,-0.00208195912951
873,0.1746,-0.267059120949,-0.00206469461876
874,0.1748,-0.267058973875,-0.0020474617088
875,0.175,-0.26705883114,-0.00203026082444
876,0.1752,-0.267058692596,-0.00201309264018
877,0.1754,-0.267058558176,-0.00199595758179
878,0.1756,-0.267058428168,-0.00197885612262
879,0.1758,-0.267058302406,-0.00196178916373
880,0.176,-0.267058180937,-0.00194475693623
881,0.1762,-0.267058063703,-0.00192776016444
882,0.1764,-0.267057950554,-0.00191079935534
883,0.1766,-0.267057841785,-0.00189387499416
884,0.1768,-0.267057737223,-0.00187698761794
885,0.177,-0.267057636881,-0.00186013800464
886,0.1772,-0.267057540692,-0.00184332672632
887,0.1774,-0.267057448508,-0.0018265540191
888,0.1776,-0.267057360421,-0.00180982073002
889,0.1778,-0.267057276501,-0.00179312697071
890,0.178,-0.267057196673,-0.00177647371036
891,0.1782,-0.267057120873,-0.00175986150212
892,0.1784,-0.267057049284,-0.00174329065652
893,0.1786,-0.267056981722,-0.00172676189396
894,0.1788,-0.267056918113,-0.00171027563357
895,0.179,-0.267056858586,-0.00169383255138
896,0.1792,-0.267056803152,-0.00167743290174
897,0.1794,-0.267056751625,-0.00166107761708
898,0.1796,-0.267056704066,-0.00164476691598
899,0.1798,-0.267056660547,-0.00162850152023
900,0.18,-0.267056620896,-0.00161228181266
901,0.1802,-0.267056585145,-0.00159610848583
902,0.1804,-0.26705655322,-0.00157998192472
